,,,,,,,
zip,uscis_id,lat,lng,,,,
35288,1,33.52,-86.79,,,,
35289,1,33.51,-86.8,,,,
35290,1,33.52,-86.79,,,,
35291,1,33.52,-86.79,,,,
35292,1,33.52,-86.79,,,,
35293,1,33.52,-86.79,,,,
35294,1,33.52,-86.79,,,,
35295,1,33.52,-86.79,,,,
35296,1,33.52,-86.79,,,,
35297,1,33.52,-86.79,,,,
35298,1,33.52,-86.79,,,,
35299,1,33.51,-86.8,,,,
35401,1,33.23,-87.54,,,,
35402,1,33.23,-87.54,,,,
35403,1,33.23,-87.54,,,,
35404,1,33.23,-87.54,,,,
35405,1,33.23,-87.54,,,,
35406,1,33.23,-87.54,,,,
35407,1,33.23,-87.54,,,,
35440,1,33.26,-87.16,,,,
35441,1,32.87,-87.73,,,,
35442,1,33.12,-88.15,,,,
35443,1,32.75,-88.02,,,,
35444,1,33.24,-87.32,,,,
35446,1,33.25,-87.73,,,,
35447,1,33.26,-88.09,,,,
35448,1,32.93,-87.98,,,,
35449,1,33.15,-87.36,,,,
35452,1,33.28,-87.67,,,,
35453,1,33.16,-87.36,,,,
35456,1,33.06,-87.42,,,,
35457,1,33.32,-87.81,,,,
35458,1,33.36,-87.8,,,,
35459,1,32.72,-88.31,,,,
35460,1,32.69,-88.12,,,,
35461,1,33.41,-88.21,,,,
35462,1,32.84,-87.89,,,,
35463,1,33.12,-87.72,,,,
35464,1,32.81,-88.15,,,,
35466,1,33.32,-87.9,,,,
35468,1,33.31,-87.32,,,,
35469,1,32.97,-87.8,,,,
35470,1,32.59,-88.18,,,,
35471,1,33.38,-88.14,,,,
35473,1,33.24,-87.59,,,,
35474,1,32.99,-87.63,,,,
35475,1,33.24,-87.59,,,,
35476,1,33.24,-87.59,,,,
35477,1,32.96,-88.29,,,,
35478,1,33.31,-87.32,,,,
35480,1,33.05,-87.76,,,,
35481,1,33.37,-88.01,,,,
35482,1,33.45,-87.66,,,,
35485,1,33.23,-87.54,,,,
35486,1,33.23,-87.54,,,,
35487,1,33.23,-87.54,,,,
